type,param,mean,std
message,time,6.965365409851074,13.650733947753906
message,size,8.13303279876709,10.5874605178833
message,price,-2.641465425491333,16.467849731445312
orderbook,ask_size_1,2.9614200592041016,3.941133737564087
orderbook,bid_size_1,2.996612071990967,3.910088062286377
orderbook,ask_size_2,4.783173084259033,3.943333148956299
orderbook,bid_size_2,4.898788928985596,4.0820841789245605
orderbook,ask_size_3,5.817635536193848,3.9898629188537598
orderbook,bid_size_3,6.036938667297363,4.250340461730957
orderbook,ask_size_4,6.518272399902344,4.460251331329346
orderbook,bid_size_4,6.828222751617432,4.487403392791748
orderbook,ask_size_5,7.344277858734131,4.676031112670898
orderbook,bid_size_5,7.701478004455566,4.880285263061523
orderbook,ask_size_6,8.355988502502441,4.973681926727295
orderbook,bid_size_6,8.775943756103516,5.22679328918457
orderbook,ask_size_7,8.944897651672363,5.141245365142822
orderbook,bid_size_7,9.273441314697266,5.153038024902344
orderbook,ask_size_8,9.168447494506836,5.166768550872803
orderbook,bid_size_8,9.465210914611816,5.639334201812744
orderbook,ask_size_9,9.235931396484375,5.172868728637695
orderbook,bid_size_9,9.522307395935059,5.551884174346924
orderbook,ask_size_10,9.304709434509277,5.308433532714844
orderbook,bid_size_10,9.558805465698242,5.383639812469482
