32433.4511796,4,0,7,33401000,1
32441.1434199,4,1,3,33398000,1
32443.9963454,4,2,13,33395000,1
32456.3662551,4,3,26,33392000,-1
32461.2618081,4,4,9,33395000,-1
32464.7350192,4,5,5,33398000,-1
32465.3775469,4,6,7,33401000,-1
32471.852959,4,7,1,33397000,-1
32482.1490392,4,8,3,33394000,-1
32485.4811949,4,9,2,33397000,-1
32508.6780665,4,10,28,33401000,-1
32508.6984644,4,11,10,33404000,-1
32514.6558358,4,12,7,33400000,1
32519.1466822,4,13,4,33397000,-1
32546.4934395,4,14,3,33400000,-1
32547.609177,4,15,1,33405000,-1
32573.7298138,4,16,5,33402000,-1
32578.7409038,4,17,3,33405000,1
32592.3623477,4,18,1,33402000,1
32670.3606028,4,19,5,33406000,-1
32695.4683382,4,20,50,33402000,1
32706.6377237,4,21,7,33399000,1
32706.7223933,4,22,1,33396000,1
32707.2985587,4,23,3,33393000,1
32707.4726666,4,24,11,33390000,1
32708.6740491,4,25,4,33387000,-1
32708.7841031,4,26,4,33390000,-1
32715.6842963,4,27,5,33393000,1
32715.6857865,4,28,18,33390000,1
32715.7495053,4,29,51,33387000,-1
32715.7812981,4,30,3,33383000,-1
32715.7865707,4,31,2,33386000,1
32716.6960482,4,32,15,33383000,1
32716.9412866,4,33,27,33380000,-1
32717.4907047,4,34,5,33377000,-1
32719.2235937,4,35,9,33380000,-1
32720.37571,4,36,7,33383000,-1
32736.6679506,4,37,8,33387000,1
32738.8841865,4,38,1,33384000,1
32762.2823854,4,39,15,33387000,-1
32762.2998411,4,40,4,33390000,1
32772.2604178,4,41,9,33387000,1
32772.3578876,4,42,4,33384000,1
32772.374953,4,43,10,33381000,1
32772.5119127,4,44,106,33378000,-1
32772.9562132,4,45,4,33382000,-1
32778.5099521,4,46,1,33385000,-1
32780.3845167,4,47,15,33379000,1
32783.277438,4,48,1,33376000,-1
32788.8646928,4,49,11,33371000,1
32789.0758943,4,50,16,33368000,-1
32789.2405749,4,51,10,33371000,-1
32791.80357,4,52,10,33374000,1
32792.9695331,4,53,30,33371000,-1
32793.7217513,4,54,8,33368000,1
32794.6792781,4,55,12,33365000,-1
32794.7140426,4,56,28,33368000,1
32796.7895371,4,57,4,33364000,-1
32800.2560313,4,58,6,33367000,-1
32801.0074353,4,59,4,33370000,1
32803.6740612,4,60,2,33367000,-1
32805.858199,4,61,6,33370000,-1
32805.9563459,4,62,3,33373000,1
32810.3709099,4,63,19,33370000,-1
32810.7212176,4,64,3,33373000,1
32811.5502083,4,65,9,33370000,1
32816.5215928,4,66,65,33373000,-1
32841.8102795,4,67,101,33376000,1
32842.1981365,4,68,5,33373000,-1
32854.3257955,4,69,10,33376000,-1
32856.1569866,4,70,1,33379000,-1
32856.8205589,4,71,14,33376000,1
32856.9205181,4,72,89,33373000,-1
32860.0736903,4,73,1,33376000,1
32891.8249074,4,74,5,33381000,-1
32891.824947,4,75,1,33384000,-1
32905.5064683,4,76,13,33381000,-1
32905.7427892,4,77,3,33384000,1
32925.1130849,4,78,33,33381000,1
32930.5413698,4,79,36,33378000,-1
32940.6458195,4,80,6,33381000,-1
32940.7889483,4,81,9,33384000,-1
32941.8895346,4,82,9,33387000,-1
32941.8895594,4,83,2,33390000,-1
32942.689512,4,84,2,33387000,1
32954.0654648,4,85,3,33384000,-1
32956.4022414,4,86,1,33387000,1
32968.7458008,4,87,7,33384000,1
32980.5275203,4,88,8,33381000,1
32991.1238821,4,89,3,33384000,1
32992.8655755,4,90,4,33381000,1
32997.4400143,4,91,10,33378000,-1
33003.0442466,4,92,6,33374000,1
33003.9099638,4,93,2,33371000,-1
33005.0263453,4,94,6,33374000,-1
33005.0263808,4,95,1,33377000,-1
33007.8551655,4,96,2,33374000,-1
33007.9153782,4,97,1,33378000,1
33008.5504481,4,98,7,33375000,1
33008.5504604,4,99,1,33372000,1
33012.1230261,4,100,4,33375000,-1
33014.1050272,4,101,1,33378000,-1
33020.8898767,4,102,16,33373000,-1
33020.9358899,4,103,1,33376000,-1
33024.7808193,4,104,2,33372000,-1
33027.4248829,4,105,3,33375000,1
33037.2526678,4,106,7,33372000,-1
33041.1763255,4,107,1,33375000,-1
33051.1999953,4,108,9,33372000,-1
33059.3813665,4,109,3,33375000,-1
33063.3295734,4,110,7,33371000,1
33063.3728199,4,111,4,33368000,1
33063.8795116,4,112,2,33365000,-1
33066.4486236,4,113,2,33368000,-1
33072.0106426,4,114,5,33372000,1
33082.326173,4,115,1,33369000,1
33087.7706654,4,116,2,33372000,1
33087.9205611,4,117,5,33369000,-1
33087.9830749,4,118,1,33372000,-1
33111.0008985,4,119,14,33367000,-1
33122.1017151,4,120,9,33371000,1
33125.1598644,4,121,1,33368000,-1
33133.7753898,4,122,12,33365000,1
33147.3209097,4,123,50,33362000,1
33151.0533344,4,124,5,33359000,-1
33151.5650079,4,125,2,33362000,1
33164.9518938,4,126,20,33359000,-1
33170.0805161,4,127,6,33354000,1
33171.3048117,4,128,19,33358000,-1
33175.0480073,4,129,3,33361000,1
33186.5934663,4,130,4,33364000,1
33187.9820898,4,131,1,33361000,1
33213.6373232,4,132,2,33364000,1
33217.6711219,4,133,1,33361000,-1
33259.7040165,4,134,51,33357000,1
33269.0879979,4,135,15,33354000,-1
33280.5269089,4,136,2,33357000,-1
33292.5458518,4,137,1,33360000,-1
33300.5964258,4,138,8,33357000,1
33318.3855484,4,139,38,33354000,-1
33326.4616958,4,140,2,33357000,-1
33339.6497826,4,141,4,33360000,-1
33345.5709497,4,142,1,33364000,-1
33364.436322,4,143,4,33367000,-1
33370.521911,4,144,2,33370000,1
33379.286314,4,145,7,33367000,1
33411.6572013,4,146,23,33364000,-1
33456.1148393,4,147,8,33367000,1
33465.3518915,4,148,3,33364000,-1
33471.0217748,4,149,10,33367000,-1
33480.7965746,4,150,10,33370000,-1
33482.5437665,4,151,6,33373000,1
33482.5750182,4,152,1,33370000,1
33488.2923207,4,153,2,33374000,1
33497.7744363,4,154,2,33371000,-1
33502.9667232,4,155,2,33374000,1
33510.8081282,4,156,4,33371000,1
33527.7500309,4,157,11,33367000,-1
33532.6920683,4,158,1,33370000,-1
33548.8087004,4,159,14,33367000,-1
33555.3587076,4,160,9,33364000,-1
33576.0867262,4,161,14,33367000,-1
33596.4515926,4,162,6,33370000,-1
33642.2453527,4,163,5,33373000,-1
33669.0055734,4,164,23,33376000,1
33671.1162424,4,165,10,33372000,1
33675.0519577,4,166,1,33369000,1
33681.2129435,4,167,7,33372000,-1
33693.7574717,4,168,7,33368000,-1
33703.76296,4,169,7,33371000,-1
33726.628846,4,170,11,33366000,-1
33751.1125947,4,171,9,33369000,1
33758.0576286,4,172,12,33366000,-1
33770.4232928,4,173,3,33369000,-1
33775.5184138,4,174,6,33372000,-1
33799.5282983,4,175,7,33375000,1
33872.4181564,4,176,1,33372000,1
33884.942071,4,177,2,33376000,1
33887.8884551,4,178,1,33373000,1
33922.9390326,4,179,10,33376000,-1
33925.7473694,4,180,16,33379000,-1
33931.1277504,4,181,14,33382000,-1
33937.1607564,4,182,1,33385000,-1
33945.4350045,4,183,10,33378000,1
34012.1178644,4,184,5,33375000,-1
34042.8878726,4,185,1,33371000,1
34084.6329747,4,186,8,33376000,-1
34084.633003,4,187,1,33379000,-1
34095.8051689,4,188,7,33376000,1
34102.018318,4,189,6,33373000,1
34142.9893622,4,190,18,33370000,1
34150.8584996,4,191,8,33367000,1
34153.9949264,4,192,2,33364000,-1
34162.8061577,4,193,11,33368000,-1
34163.0184304,4,194,5,33371000,1
34165.9098791,4,195,19,33368000,1
34176.9218389,4,196,10,33365000,-1
34186.7102244,4,197,2,33368000,1
34190.2639053,4,198,15,33365000,1
34200.9239657,4,199,31,33362000,1
34200.9759035,4,200,14,33359000,1
34204.2332275,4,201,26,33356000,1
34215.4034126,4,202,1,33363000,1
34216.8029791,4,203,9,33367000,-1
34217.1577652,4,204,2,33370000,1
34230.5439884,4,205,9,33367000,1
34243.1628584,4,206,4,33364000,-1
34272.9447402,4,207,12,33367000,-1
34285.5758046,4,208,21,33370000,1
34287.2208153,4,209,1,33367000,1
34302.6700859,4,210,20,33372000,1
34302.6736018,4,211,18,33369000,1
34311.8217889,4,212,11,33366000,1
34324.4725256,4,213,3,33361000,-1
34344.9217499,4,214,8,33365000,1
34351.3101267,4,215,1,33362000,1
34371.3087782,4,216,2,33365000,-1
34385.9516086,4,217,4,33368000,1
34400.366488,4,218,10,33365000,1
34425.9150002,4,219,1,33362000,1
34436.0358179,4,220,12,33365000,-1
34445.8433246,4,221,10,33369000,-1
34467.4515236,4,222,3,33366000,1
34504.689189,4,223,16,33363000,1
34506.1093714,4,224,8,33360000,1
34506.1512817,4,225,4,33357000,1
34506.1876622,4,226,4,33354000,1
34506.2689237,4,227,2,33351000,-1
34529.1935771,4,228,8,33354000,-1
34565.6492771,4,229,10,33357000,-1
