33468000,5,33470000,2,33467000,8,33471000,5,33466000,8,33472000,10,33465000,13,33473000,7,33464000,7,33474000,10,33463000,9,33475000,10,33462000,17,33476000,13,33461000,12,33477000,10,33460000,22,33478000,16,33459000,13,33479000,13
33471000,3,33473000,3,33470000,9,33474000,9,33469000,6,33475000,9,33468000,5,33476000,10,33467000,8,33477000,9,33466000,8,33478000,9,33465000,15,33479000,14,33464000,14,33480000,17,33463000,9,33481000,13,33462000,18,33482000,16
33470000,3,33472000,8,33469000,7,33473000,4,33468000,6,33474000,8,33467000,6,33475000,8,33466000,9,33476000,9,33465000,14,33477000,9,33464000,14,33478000,15,33463000,9,33479000,14,33462000,18,33480000,17,33461000,12,33481000,13
33470000,4,33473000,3,33469000,11,33474000,11,33468000,5,33475000,9,33467000,7,33476000,9,33466000,9,33477000,9,33465000,14,33478000,8,33464000,14,33479000,14,33463000,9,33480000,17,33462000,18,33481000,13,33461000,12,33482000,16
33475000,2,33477000,3,33474000,8,33478000,9,33473000,6,33479000,10,33472000,5,33480000,17,33471000,6,33481000,10,33470000,4,33482000,14,33469000,12,33483000,15,33468000,11,33484000,16,33467000,18,33485000,8,33466000,11,33486000,16
33474000,1,33475000,1,33473000,8,33476000,3,33472000,6,33477000,8,33471000,7,33478000,4,33470000,5,33479000,7,33469000,10,33480000,15,33468000,12,33481000,9,33467000,20,33482000,12,33466000,13,33483000,12,33465000,18,33484000,16
33477000,1,33478000,2,33476000,3,33479000,7,33475000,4,33480000,16,33474000,12,33481000,9,33473000,8,33482000,11,33472000,7,33483000,12,33471000,11,33484000,16,33470000,12,33485000,15,33469000,13,33486000,14,33468000,15,33487000,9
33474000,9,33475000,2,33473000,5,33476000,5,33472000,7,33477000,7,33471000,8,33478000,4,33470000,7,33479000,7,33469000,10,33480000,14,33468000,21,33481000,9,33467000,23,33482000,15,33466000,12,33483000,13,33465000,18,33484000,16
33475000,2,33477000,5,33474000,6,33478000,10,33473000,9,33479000,9,33472000,8,33480000,14,33471000,8,33481000,10,33470000,6,33482000,14,33469000,10,33483000,13,33468000,21,33484000,16,33467000,21,33485000,14,33466000,14,33486000,14
33474000,2,33475000,1,33473000,7,33476000,5,33472000,8,33477000,9,33471000,11,33478000,8,33470000,7,33479000,8,33469000,9,33480000,14,33468000,20,33481000,10,33467000,20,33482000,19,33466000,14,33483000,13,33465000,16,33484000,16
33476000,1,33477000,5,33475000,4,33478000,8,33474000,13,33479000,7,33473000,5,33480000,16,33472000,6,33481000,8,33471000,11,33482000,15,33470000,8,33483000,13,33469000,11,33484000,16,33468000,20,33485000,14,33467000,19,33486000,14
33480000,5,33481000,2,33479000,7,33482000,7,33478000,9,33483000,13,33477000,7,33484000,14,33476000,6,33485000,8,33475000,4,33486000,11,33474000,11,33487000,13,33473000,10,33488000,16,33472000,9,33489000,14,33471000,12,33490000,21
33478000,5,33481000,5,33477000,10,33482000,8,33476000,6,33483000,7,33475000,7,33484000,15,33474000,11,33485000,9,33473000,9,33486000,12,33472000,11,33487000,10,33471000,12,33488000,16,33470000,14,33489000,14,33469000,13,33490000,22
33479000,2,33481000,5,33478000,5,33482000,8,33477000,8,33483000,7,33476000,6,33484000,15,33475000,7,33485000,9,33474000,11,33486000,11,33473000,10,33487000,10,33472000,11,33488000,16,33471000,12,33489000,14,33470000,14,33490000,22
33478000,4,33480000,2,33477000,8,33481000,8,33476000,6,33482000,8,33475000,7,33483000,8,33474000,11,33484000,14,33473000,7,33485000,9,33472000,8,33486000,17,33471000,13,33487000,10,33470000,15,33488000,16,33469000,13,33489000,14
33475000,7,33476000,3,33474000,7,33477000,8,33473000,8,33478000,9,33472000,4,33479000,11,33471000,9,33480000,7,33470000,12,33481000,19,33469000,13,33482000,9,33468000,24,33483000,15,33467000,21,33484000,14,33466000,12,33485000,12
33472000,1,33474000,4,33471000,7,33475000,6,33470000,8,33476000,7,33469000,12,33477000,11,33468000,19,33478000,8,33467000,20,33479000,11,33466000,17,33480000,9,33465000,13,33481000,23,33464000,13,33482000,14,33463000,9,33483000,14
33473000,4,33475000,7,33472000,6,33476000,11,33471000,7,33477000,9,33470000,7,33478000,9,33469000,6,33479000,10,33468000,13,33480000,8,33467000,17,33481000,22,33466000,13,33482000,15,33465000,16,33483000,14,33464000,18,33484000,14
33468000,7,33469000,5,33467000,11,33470000,9,33466000,9,33471000,7,33465000,16,33472000,10,33464000,10,33473000,10,33463000,9,33474000,9,33462000,16,33475000,10,33461000,13,33476000,14,33460000,13,33477000,13,33459000,11,33478000,11
33465000,9,33466000,3,33464000,6,33467000,7,33463000,8,33468000,15,33462000,11,33469000,9,33461000,9,33470000,10,33460000,13,33471000,10,33459000,9,33472000,10,33458000,15,33473000,14,33457000,10,33474000,14,33456000,18,33475000,11
33462000,1,33464000,3,33461000,5,33465000,9,33460000,12,33466000,9,33459000,10,33467000,9,33458000,9,33468000,10,33457000,11,33469000,11,33456000,19,33470000,11,33455000,21,33471000,15,33454000,9,33472000,13,33453000,12,33473000,15
33464000,1,33465000,3,33463000,4,33466000,8,33462000,9,33467000,11,33461000,6,33468000,14,33460000,8,33469000,10,33459000,10,33470000,13,33458000,9,33471000,15,33457000,15,33472000,14,33456000,19,33473000,14,33455000,19,33474000,16
33467000,1,33468000,3,33466000,8,33469000,6,33465000,6,33470000,11,33464000,7,33471000,10,33463000,9,33472000,11,33462000,10,33473000,12,33461000,11,33474000,17,33460000,18,33475000,9,33459000,12,33476000,14,33458000,13,33477000,14
33468000,2,33470000,5,33467000,5,33471000,10,33466000,11,33472000,13,33465000,7,33473000,10,33464000,8,33474000,10,33463000,9,33475000,8,33462000,12,33476000,15,33461000,13,33477000,13,33460000,18,33478000,11,33459000,12,33479000,9
33466000,6,33468000,4,33465000,5,33469000,5,33464000,8,33470000,6,33463000,10,33471000,8,33462000,11,33472000,10,33461000,12,33473000,11,33460000,18,33474000,12,33459000,14,33475000,10,33458000,12,33476000,15,33457000,16,33477000,13
33469000,3,33471000,7,33468000,4,33472000,14,33467000,8,33473000,10,33466000,8,33474000,10,33465000,6,33475000,9,33464000,8,33476000,12,33463000,13,33477000,13,33462000,14,33478000,12,33461000,15,33479000,9,33460000,18,33480000,13
33472000,1,33473000,3,33471000,6,33474000,8,33470000,8,33475000,11,33469000,5,33476000,9,33468000,5,33477000,9,33467000,6,33478000,10,33466000,11,33479000,16,33465000,8,33480000,12,33464000,15,33481000,21,33463000,16,33482000,11
33475000,3,33477000,2,33474000,6,33478000,9,33473000,8,33479000,11,33472000,4,33480000,10,33471000,8,33481000,23,33470000,7,33482000,12,33469000,7,33483000,10,33468000,9,33484000,19,33467000,13,33485000,8,33466000,14,33486000,16
33478000,5,33481000,21,33477000,5,33482000,11,33476000,7,33483000,8,33475000,6,33484000,17,33474000,5,33485000,8,33473000,7,33486000,14,33472000,12,33487000,11,33471000,9,33488000,18,33470000,13,33489000,11,33469000,15,33490000,16
33483000,3,33484000,9,33482000,4,33485000,7,33481000,6,33486000,12,33480000,8,33487000,11,33479000,8,33488000,11,33478000,7,33489000,13,33477000,11,33490000,21,33476000,13,33491000,15,33475000,13,33492000,14,33474000,11,33493000,10
33484000,2,33486000,3,33483000,6,33487000,12,33482000,8,33488000,11,33481000,4,33489000,16,33480000,6,33490000,18,33479000,8,33491000,13,33478000,9,33492000,16,33477000,13,33493000,11,33476000,13,33494000,13,33475000,14,33495000,23
33479000,3,33480000,2,33478000,7,33482000,3,33477000,12,33483000,5,33476000,8,33484000,7,33475000,8,33485000,8,33474000,9,33486000,10,33473000,13,33487000,15,33472000,14,33488000,11,33471000,8,33489000,11,33470000,13,33490000,25
33477000,5,33480000,5,33476000,10,33481000,6,33475000,8,33482000,8,33474000,10,33483000,4,33473000,9,33484000,7,33472000,8,33485000,8,33471000,11,33486000,14,33470000,17,33487000,15,33469000,10,33488000,11,33468000,14,33489000,13
33474000,4,33476000,5,33473000,9,33477000,7,33472000,9,33478000,5,33471000,10,33479000,7,33470000,11,33480000,11,33469000,8,33481000,8,33468000,17,33482000,9,33467000,14,33483000,7,33466000,10,33484000,17,33465000,13,33485000,9
33472000,1,33473000,3,33471000,8,33474000,5,33470000,10,33475000,5,33469000,9,33476000,4,33468000,14,33477000,9,33467000,13,33478000,7,33466000,15,33479000,9,33465000,12,33480000,11,33464000,10,33481000,15,33463000,12,33482000,10
33468000,1,33469000,3,33467000,5,33470000,4,33466000,11,33471000,6,33465000,12,33472000,6,33464000,9,33473000,7,33463000,11,33474000,7,33462000,16,33475000,8,33461000,13,33476000,9,33460000,14,33477000,9,33459000,13,33478000,16
33469000,4,33471000,3,33468000,8,33472000,4,33467000,5,33473000,8,33466000,11,33474000,10,33465000,11,33475000,7,33464000,9,33476000,6,33463000,10,33477000,10,33462000,12,33478000,16,33461000,13,33479000,7,33460000,18,33480000,10
33468000,2,33469000,2,33467000,4,33470000,5,33466000,9,33471000,8,33465000,11,33472000,5,33464000,10,33473000,8,33463000,10,33474000,8,33462000,12,33475000,8,33461000,13,33476000,9,33460000,18,33477000,9,33459000,11,33478000,15
33469000,5,33471000,3,33468000,6,33472000,5,33467000,9,33473000,7,33466000,4,33474000,6,33465000,9,33475000,7,33464000,8,33476000,6,33463000,10,33477000,11,33462000,14,33478000,15,33461000,15,33479000,6,33460000,16,33480000,11
33468000,2,33470000,5,33467000,7,33471000,7,33466000,7,33472000,9,33465000,9,33473000,7,33464000,8,33474000,6,33463000,9,33475000,10,33462000,11,33476000,9,33461000,14,33477000,11,33460000,15,33478000,16,33459000,12,33479000,6
33466000,1,33468000,3,33465000,7,33469000,6,33464000,8,33470000,6,33463000,11,33471000,7,33462000,10,33472000,8,33461000,7,33473000,6,33460000,14,33474000,7,33459000,12,33475000,14,33458000,18,33476000,9,33457000,11,33477000,12
33466000,1,33468000,3,33465000,7,33469000,6,33464000,8,33470000,6,33463000,11,33471000,7,33462000,10,33472000,8,33461000,7,33473000,6,33460000,14,33474000,7,33459000,12,33475000,14,33458000,18,33476000,9,33457000,11,33477000,12
33459000,1,33461000,5,33458000,7,33462000,10,33457000,8,33463000,7,33456000,16,33464000,6,33455000,19,33465000,6,33454000,10,33466000,7,33453000,14,33467000,10,33452000,12,33468000,11,33451000,7,33469000,16,33450000,36,33470000,12
33456000,7,33458000,3,33455000,17,33459000,10,33454000,13,33460000,8,33453000,11,33461000,5,33452000,8,33462000,10,33451000,6,33463000,8,33450000,35,33464000,7,33449000,15,33465000,8,33448000,8,33466000,16,33447000,10,33467000,9
33454000,4,33455000,2,33453000,8,33456000,6,33452000,8,33457000,7,33451000,8,33458000,8,33450000,34,33459000,15,33449000,7,33460000,9,33448000,6,33461000,7,33447000,12,33462000,11,33446000,13,33463000,16,33445000,10,33464000,8
33454000,6,33456000,3,33453000,8,33457000,6,33452000,8,33458000,8,33451000,7,33459000,14,33450000,35,33460000,15,33449000,9,33461000,6,33448000,7,33462000,14,33447000,16,33463000,17,33446000,13,33464000,9,33445000,10,33465000,10
33458000,2,33459000,3,33457000,5,33460000,5,33456000,8,33461000,5,33455000,6,33462000,9,33454000,9,33463000,8,33453000,10,33464000,6,33452000,8,33465000,14,33451000,8,33466000,18,33450000,41,33467000,9,33449000,14,33468000,12
33455000,7,33458000,5,33454000,9,33459000,13,33453000,8,33460000,6,33452000,8,33461000,5,33451000,7,33462000,7,33450000,36,33463000,9,33449000,13,33464000,9,33448000,10,33465000,10,33447000,13,33466000,18,33446000,12,33467000,9
33456000,3,33458000,3,33455000,6,33459000,10,33454000,8,33460000,8,33453000,8,33461000,9,33452000,7,33462000,10,33451000,9,33463000,13,33450000,35,33464000,9,33449000,18,33465000,11,33448000,9,33466000,17,33447000,14,33467000,8
33456000,3,33458000,3,33455000,6,33459000,10,33454000,8,33460000,8,33453000,8,33461000,9,33452000,7,33462000,10,33451000,9,33463000,13,33450000,35,33464000,9,33449000,18,33465000,11,33448000,9,33466000,17,33447000,14,33467000,8
33459000,1,33461000,3,33458000,8,33462000,5,33457000,8,33463000,5,33456000,8,33464000,7,33455000,6,33465000,9,33454000,8,33466000,14,33453000,15,33467000,12,33452000,15,33468000,13,33451000,11,33469000,15,33450000,36,33470000,12
33461000,2,33463000,3,33460000,6,33464000,8,33459000,8,33465000,11,33458000,5,33466000,12,33457000,5,33467000,11,33456000,7,33468000,10,33455000,8,33469000,16,33454000,11,33470000,13,33453000,15,33471000,10,33452000,15,33472000,11
33464000,2,33466000,3,33463000,8,33467000,7,33462000,6,33468000,13,33461000,5,33469000,11,33460000,6,33470000,12,33459000,8,33471000,9,33458000,13,33472000,14,33457000,11,33473000,11,33456000,15,33474000,12,33455000,13,33475000,6
33463000,1,33464000,3,33462000,4,33465000,6,33461000,5,33466000,6,33460000,7,33467000,7,33459000,8,33468000,12,33458000,12,33469000,11,33457000,11,33470000,14,33456000,15,33471000,12,33455000,12,33472000,17,33454000,12,33473000,11
33464000,2,33466000,7,33463000,6,33467000,8,33462000,6,33468000,13,33461000,6,33469000,11,33460000,6,33470000,14,33459000,6,33471000,11,33458000,10,33472000,17,33457000,11,33473000,11,33456000,15,33474000,12,33455000,13,33475000,6
33467000,3,33469000,8,33466000,8,33470000,11,33465000,4,33471000,10,33464000,5,33472000,11,33463000,6,33473000,8,33462000,8,33474000,11,33461000,10,33475000,14,33460000,11,33476000,10,33459000,15,33477000,9,33458000,13,33478000,12
33466000,3,33468000,3,33465000,7,33469000,5,33464000,6,33470000,7,33463000,8,33471000,11,33462000,13,33472000,12,33461000,12,33473000,9,33460000,11,33474000,17,33459000,16,33475000,11,33458000,13,33476000,10,33457000,10,33477000,13
